Financial Year,Date,Supplier,Amount,Activity Type,R&D Confidence,Meets Div355,Outcome Unknown,Systematic,New Knowledge,Scientific Method,Reasoning,Transaction ID
FY2024-25,2025-02-25,Anthropic,875.94,not_eligible,60,No,No,No,No,No,"While the transaction involves AI, it's unclear if the purchase of 'Ai Phill' constitutes R&D. There's no information to suggest the four elements of Division 355 are met. It is likely a software subs",8814ee15-118e-488f-b449-0b3e0434888c
FY2024-25,2025-05-30,Anthropic,867.09,not_eligible,60,No,No,No,No,No,"The description 'Ai - Phill' suggests potential R&D related to Artificial Intelligence. However, without further information, it's impossible to determine if the four elements of Division 355 are met.",16d80efd-858b-4583-9c0c-7c0fc940b5f0
FY2024-25,2025-04-07,Anthropic,155.08,not_eligible,60,No,No,No,No,No,"The description 'Ai Phill' from Anthropic suggests potential R&D related to AI. However, without further information about the nature of the service, it's impossible to determine if it meets all four ",afb4f972-3ac1-4b52-b89b-3a304dc9bbc7
FY2024-25,2025-02-05,Anthropic,152.1,not_eligible,60,No,No,No,No,No,"The description 'Ai Phill' from Anthropic suggests potential software or AI-related activity. However, there is insufficient information to determine if it meets all four elements of the R&D tax incen",bc26ce32-68cd-4051-b61e-03a4961fff56
FY2024-25,2025-02-05,Anthropic,151.64,not_eligible,60,No,No,No,No,No,"The transaction description 'from Anthropic - Ai Phill' suggests the use of AI software. While AI development can be R&D, the description lacks sufficient detail to determine if the four elements of D",1148b9c6-db76-4be0-aa8b-75d1f6b37eac
FY2024-25,2025-02-14,Anthropic,150.85,not_eligible,60,No,No,No,No,No,"The description 'Ai Phill' from Anthropic suggests potential R&D related to AI, but lacks sufficient detail to confirm all four elements of Division 355. It's unclear if the activity involves a system",ea59ac07-0cde-4193-842d-cca44fbe4142
FY2024-25,2025-02-08,Anthropic,150.82,not_eligible,60,No,No,No,No,No,"The description 'Ai Phill' from Anthropic suggests potential R&D related to AI. However, without further information, it's impossible to determine if the four elements of Division 355 are met. It is u",d98d8b3e-9dca-4b06-8bc7-9968e0be77fe
FY2024-25,2025-02-04,Anthropic,150.43,not_eligible,60,No,No,No,No,No,"While the use of AI tools *could* potentially be related to R&D, the description 'Ai Phill' is too vague to determine if the four elements of Division 355 are met. It's unclear if this is a routine ap",93660da9-1476-4453-9706-124bf4e09362
FY2024-25,2025-02-02,Anthropic,150.05,not_eligible,60,No,No,No,No,No,"The description 'Ai Phill' from Anthropic suggests potential R&D related to AI, but there is insufficient information to confirm that the four elements of Division 355 are met. The description lacks d",0bf9bb5f-62a4-492d-9699-ab1bde06aa5d
FY2024-25,2025-01-31,Anthropic,149.9,not_eligible,60,No,No,No,No,No,"The description 'Ai Phill' from Anthropic suggests potential R&D related to AI, but there is insufficient information to determine if it meets all four elements of Division 355. Further investigation ",5fa82115-e864-4760-bf7e-1e3d5342395d
FY2024-25,2025-02-12,Anthropic,149.85,not_eligible,60,No,No,No,No,No,"The description 'Ai Phill' suggests a software or AI-related service. While potentially innovative, there's insufficient information to determine if it meets all four elements of Division 355. It's un",239dc5ec-d5a3-49b3-943e-0eb70c9ab700
FY2024-25,2025-02-13,Anthropic,149.75,not_eligible,60,No,No,No,No,No,"While the description 'Ai Phill' from Anthropic suggests potential R&D related to Artificial Intelligence, there is insufficient information to confirm that the four elements of Division 355 have been",40dbf0b7-6d63-43c4-86e6-21b610d00372
FY2025-26,2025-08-09,Anthropic,149.64,not_eligible,60,No,No,No,No,No,"The description 'Ai Phill' from Anthropic suggests the use of AI software. While AI development can be R&D, the transaction lacks sufficient detail to determine if it meets all four elements of Divisi",3b68604b-e85d-4be4-9c3b-6aa9d75320dc
FY2024-25,2025-02-11,Anthropic,149.44,not_eligible,60,No,No,No,No,No,"The description 'Ai Phill' from Anthropic suggests potential R&D related to AI. However, without further information about the specific activities undertaken, it's impossible to determine if the four ",440334fe-77b7-4eae-8e08-d9b93773c9bb
FY2024-25,2025-02-17,Anthropic,149.33,not_eligible,60,No,No,No,No,No,"The description 'Ai Phill' from Anthropic suggests potential R&D related to AI. However, without further information, it's impossible to determine if the four elements of Division 355 are met. It is u",d4573252-2af1-466b-8f87-2d2f65abf3e0
FY2024-25,2025-02-10,Anthropic,148.89,not_eligible,60,No,Yes,No,No,No,"The description 'Ai Phill' from Anthropic suggests potential R&D related to AI, but there is insufficient information to confirm that the four elements of Division 355 have been met. Without more deta",28301db0-3007-4afc-ab69-1f4ab082c93a
FY2024-25,2025-02-07,Anthropic,148.79,not_eligible,60,No,No,No,No,No,"The description 'Ai Phill' from Anthropic suggests the use of AI software. While AI development can be R&D, the transaction lacks sufficient detail to determine if it meets the four-element test. It's",4a1b8fad-e6ef-432e-b2f3-ecdaa570b532
FY2024-25,2025-02-08,Anthropic,148.78,not_eligible,60,No,No,No,No,No,"The description 'Ai Phill' from Anthropic suggests potential R&D related to AI. However, without further information about the specific activities undertaken, it's impossible to determine if it meets ",8c748153-2405-445b-bfb9-3fb5d78070c3
FY2024-25,2025-02-15,Anthropic,148.67,not_eligible,60,No,No,No,No,No,"The description 'Ai Phill' from Anthropic suggests the use of AI software. While AI development can be R&D, the description lacks sufficient detail to determine if the four R&D elements are met. It's ",cc053ce8-cc23-435e-a29d-fc6675fc10e9
FY2024-25,2025-02-13,Anthropic,148.36,not_eligible,60,No,No,No,No,No,"While the description 'Ai Phill' from Anthropic suggests potential R&D related to Artificial Intelligence, there is insufficient information to determine if the four elements of Division 355 are met. ",d054e01a-57d8-479a-9a36-e5bda65d2a0c
FY2024-25,2025-02-11,Anthropic,148.03,not_eligible,60,No,No,No,No,No,"While the description 'Ai Phill' from Anthropic suggests potential R&D related to Artificial Intelligence, there is insufficient information to confirm that the four elements of Division 355 are met. ",a9c47ce2-0eb2-48e3-ba79-8140decca2fe
